MethodType,OverCollatDollar,UnderCollatDollar,OverCollatBids,UnderCollatBids
CreditRequired,-80664202.60539334,27152025.912954643,16344,4567
CreditRequiredStats05,-22422445.53087847,39312378.07908074,11663,6163
CreditRequiredStats02,-25323450.129156973,38497464.14088268,12033,6020
