Period,Class,MethodType,OverCollatDollar,OverCollatBids,OverCollatBidsPct,UnderCollatDollar,UnderCollatBids,UnderCollatBidsPct,EqualCollatBids,EqualCollatBidsPct
Jun_16,OFF,CreditRequired,-6132339.148638261,1316,0.7191256830601093,1101271.655426457,510,0.2786885245901639,4,0.002185792349726776
Jun_16,OFF,CreditRequiredStats05,-3465216.5314768343,1139,0.6224043715846994,1312731.1071155737,579,0.3163934426229508,112,0.06120218579234973
Jun_16,OFF,CreditRequiredStats02,-3923794.0331562995,1182,0.6459016393442623,1222205.2673327138,551,0.3010928961748634,97,0.053005464480874315
Jun_16,ON,CreditRequired,-6283790.661352057,1549,0.769116186693148,2038704.207289645,465,0.23088381330685204,0,0
Jun_16,ON,CreditRequiredStats05,-2986737.427667993,1268,0.6295928500496525,2894691.9006040697,608,0.3018867924528302,138,0.06852035749751738
Jun_16,ON,CreditRequiredStats02,-3595755.8143304246,1320,0.6554121151936445,2808870.646058113,581,0.288480635551142,113,0.05610724925521351
Jul_16,OFF,CreditRequired,-4478186.943482074,1316,0.8680738786279684,391731.55675797985,200,0.13192612137203166,0,0
Jul_16,OFF,CreditRequiredStats05,-2186679.7347588395,1080,0.712401055408971,439489.64647455566,254,0.16754617414248021,182,0.12005277044854881
Jul_16,OFF,CreditRequiredStats02,-2486785.3032557494,1134,0.7480211081794196,429345.69652060955,243,0.16029023746701848,139,0.09168865435356201
Jul_16,ON,CreditRequired,-5141319.435264816,1624,0.8332478193945613,674264.7146992853,325,0.1667521806054387,0,0
Jul_16,ON,CreditRequiredStats05,-1841986.0713086408,1243,0.637762955361724,879581.4211588008,483,0.2478193945613135,223,0.11441765007696254
Jul_16,ON,CreditRequiredStats02,-2455295.1342179514,1338,0.6865059004617753,766910.6802637993,433,0.22216521292970753,178,0.09132888660851719
Aug_16,OFF,CreditRequired,-4885041.788577604,1407,0.8626609442060086,134609.6626812339,224,0.13733905579399142,0,0
Aug_16,OFF,CreditRequiredStats05,-2599465.547276966,1139,0.6983445738810545,185789.1887460928,324,0.19865113427345188,168,0.10300429184549356
Aug_16,OFF,CreditRequiredStats02,-2938782.0161904707,1182,0.7247087676272226,176375.9004580831,302,0.18516247700797056,147,0.09012875536480687
Aug_16,ON,CreditRequired,-5928074.159362613,1723,0.8466830466830467,567771.9507824499,312,0.15331695331695333,0,0
Aug_16,ON,CreditRequiredStats05,-2806791.383628034,1385,0.6805896805896806,665238.5447811652,393,0.1931203931203931,257,0.1262899262899263
Aug_16,ON,CreditRequiredStats02,-3194949.2409150857,1463,0.7189189189189189,636439.8955525872,357,0.17542997542997543,215,0.10565110565110565
Sep_16,OFF,CreditRequired,-4885125.420309938,1039,0.7650957290132547,2928171.7712018923,319,0.2349042709867452,0,0
Sep_16,OFF,CreditRequiredStats05,-2262103.1415046016,802,0.5905743740795287,3948532.679922272,446,0.3284241531664212,110,0.08100147275405008
Sep_16,OFF,CreditRequiredStats02,-2525769.8115212875,825,0.6075110456553755,3883752.6013862845,436,0.32106038291605304,97,0.07142857142857142
Sep_16,ON,CreditRequired,-4857986.062450566,1033,0.7562225475841874,2810615.64753366,333,0.24377745241581258,0,0
Sep_16,ON,CreditRequiredStats05,-1548225.8124742212,807,0.5907759882869692,3735299.8188930512,456,0.33382137628111275,103,0.07540263543191801
Sep_16,ON,CreditRequiredStats02,-1823879.4536985413,849,0.6215226939970717,3661372.4225130114,437,0.31991215226939973,80,0.05856515373352855
Fall_16,OFF,CreditRequired,-10159640.923326304,1024,0.7925696594427245,1489778.6037155343,268,0.20743034055727555,0,0
Fall_16,OFF,CreditRequiredStats05,-4692964.956383591,636,0.49226006191950467,2345882.6875635698,417,0.32275541795665635,239,0.184984520123839
Fall_16,OFF,CreditRequiredStats02,-5228506.062915502,663,0.5131578947368421,2265524.1850192915,403,0.31191950464396284,226,0.17492260061919504
Fall_16,ON,CreditRequired,-8761528.799658924,1117,0.7767732962447844,3166082.8269705297,321,0.22322670375521558,0,0
Fall_16,ON,CreditRequiredStats05,-3167994.531731136,680,0.4728789986091794,3966004.67888698,423,0.2941585535465925,335,0.2329624478442281
Fall_16,ON,CreditRequiredStats02,-3697848.6505283415,707,0.4916550764951321,3886621.369573523,420,0.29207232267037553,311,0.21627260083449235
Winter_16,OFF,CreditRequired,-6332208.055702411,792,0.717391304347826,3644006.411031709,312,0.2826086956521739,0,0
Winter_16,OFF,CreditRequiredStats05,-2449002.460432939,587,0.5317028985507246,4986407.539615356,379,0.3432971014492754,138,0.125
Winter_16,OFF,CreditRequiredStats02,-2699228.97380098,611,0.5534420289855072,4914229.532929661,372,0.33695652173913043,121,0.10960144927536232
Winter_16,ON,CreditRequired,-6426105.6375036035,967,0.7519440124416796,3823640.4684138987,319,0.24805598755832037,0,0
Winter_16,ON,CreditRequiredStats05,-2772023.953023115,778,0.6049766718506998,4274438.972576135,367,0.2853810264385692,141,0.10964230171073094
Winter_16,ON,CreditRequiredStats02,-3284444.654605139,814,0.6329704510108864,4194795.550709273,355,0.276049766718507,117,0.09097978227060653
Spring_17,OFF,CreditRequired,-3061436.6979746018,675,0.6790744466800804,3143714.7359578786,319,0.3209255533199195,0,0
Spring_17,OFF,CreditRequiredStats05,-1329625.9506103348,515,0.5181086519114688,4446984.929411606,421,0.42354124748490946,58,0.05835010060362173
Spring_17,OFF,CreditRequiredStats02,-1492540.8137142682,540,0.5432595573440644,4403447.106360433,404,0.40643863179074446,50,0.05030181086519115
Spring_17,ON,CreditRequired,-3179961.87251906,784,0.7114337568058077,3151151.514115367,318,0.2885662431941924,0,0
Spring_17,ON,CreditRequiredStats05,-1436595.235159506,625,0.5671506352087115,4030979.638559531,368,0.3339382940108893,109,0.09891107078039928
Spring_17,ON,CreditRequiredStats02,-1744624.4129841907,651,0.5907441016333939,4008817.8120372053,361,0.3275862068965517,90,0.08166969147005444
